Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,48,48,43,41,40,40,40,40,41,43,44
Male,49,49,44,41,41,41,40,41,42,44,45
Female,36,39,39,32,31,30,32,29,26,25,30
White,65,66,61,59,60,61,61,64,66,69,68
Black,48,50,45,43,41,39,40,39,41,43,46
Hispanic,32,30,27,23,26,27,28,25,24,25,28
Other,12,11,10,9,7,6,6,6,8,8,8
17 or younger,0,0,0,0,0,0,0,0,0,0,0
18 to 24,4,5,4,4,5,4,4,4,4,3,3
25 to 34,9,9,7,7,6,6,5,5,5,7,7
35 to 44,28,27,21,18,17,16,14,14,14,14,14
45 to 54,84,78,72,65,64,58,55,50,47,45,46
55 or older,350,351,302,273,255,250,244,244,238,236,233